iter	Logloss_SumError	Logloss_SumWeight	Accuracy_SumError	Accuracy_SumWeight
0	3689.01624	5876	4705	5876
1	3387.047945	5876	4807	5876
2	3172.615929	5876	4852	5876
3	2973.101591	5876	4851	5876
4	2818.930768	5876	4881	5876
5	2678.229115	5876	4898	5876
6	2577.136258	5876	4906	5876
7	2496.914616	5876	4917	5876
8	2434.885055	5876	4941	5876
9	2372.532881	5876	4930	5876
10	2330.096028	5876	4943	5876
11	2289.825515	5876	4940	5876
12	2248.065497	5876	4955	5876
13	2215.343616	5876	4966	5876
14	2184.976719	5876	4968	5876
15	2165.057102	5876	4976	5876
16	2143.583739	5876	4992	5876
17	2130.804683	5876	4993	5876
18	2110.555176	5876	4998	5876
19	2092.343182	5876	5006	5876
20	2076.026447	5876	5021	5876
21	2067.861348	5876	5015	5876
22	2056.449558	5876	5020	5876
23	2044.508743	5876	5025	5876
24	2032.445411	5876	5026	5876
25	2021.330811	5876	5029	5876
26	2013.068134	5876	5027	5876
27	1997.092114	5876	5052	5876
28	1987.490166	5876	5052	5876
29	1977.185919	5876	5052	5876
30	1966.898803	5876	5047	5876
31	1958.960161	5876	5061	5876
32	1946.050645	5876	5060	5876
33	1938.269898	5876	5065	5876
34	1931.316642	5876	5060	5876
35	1926.420211	5876	5063	5876
36	1921.724353	5876	5063	5876
37	1915.925953	5876	5066	5876
38	1913.813665	5876	5069	5876
39	1907.167005	5876	5064	5876
40	1900.796102	5876	5068	5876
41	1895.02799	5876	5075	5876
42	1891.485767	5876	5082	5876
43	1889.843773	5876	5079	5876
44	1884.48635	5876	5078	5876
45	1880.810087	5876	5074	5876
46	1877.43935	5876	5080	5876
47	1872.317498	5876	5082	5876
48	1864.418791	5876	5085	5876
49	1863.663904	5876	5085	5876
50	1857.760433	5876	5088	5876
51	1850.630637	5876	5099	5876
52	1848.871347	5876	5103	5876
53	1846.370666	5876	5100	5876
54	1840.422118	5876	5109	5876
55	1834.382324	5876	5106	5876
56	1830.100002	5876	5113	5876
57	1828.063725	5876	5107	5876
58	1824.747164	5876	5110	5876
59	1815.69366	5876	5113	5876
60	1814.122155	5876	5106	5876
61	1809.532034	5876	5112	5876
62	1805.597443	5876	5114	5876
63	1805.006951	5876	5115	5876
64	1802.490899	5876	5119	5876
65	1801.347857	5876	5120	5876
66	1800.69171	5876	5121	5876
67	1798.239842	5876	5121	5876
68	1796.755453	5876	5124	5876
69	1794.947466	5876	5117	5876
70	1793.225151	5876	5122	5876
71	1790.774445	5876	5125	5876
72	1789.383613	5876	5124	5876
73	1788.48541	5876	5124	5876
74	1786.079732	5876	5124	5876
75	1783.539539	5876	5127	5876
76	1782.272569	5876	5125	5876
77	1782.146015	5876	5126	5876
78	1780.801575	5876	5129	5876
79	1779.408661	5876	5132	5876
80	1778.194627	5876	5129	5876
81	1774.19241	5876	5130	5876
82	1773.278453	5876	5125	5876
83	1771.008103	5876	5121	5876
84	1769.587029	5876	5126	5876
85	1766.338005	5876	5128	5876
86	1765.564562	5876	5125	5876
87	1764.432562	5876	5124	5876
88	1763.886474	5876	5118	5876
89	1762.268413	5876	5120	5876
90	1760.992983	5876	5118	5876
91	1759.88661	5876	5116	5876
92	1757.154592	5876	5120	5876
93	1755.962206	5876	5119	5876
94	1754.020027	5876	5126	5876
95	1752.005652	5876	5122	5876
96	1752.404033	5876	5121	5876
97	1749.038776	5876	5114	5876
98	1741.056788	5876	5126	5876
99	1740.232104	5876	5128	5876
100	1737.817772	5876	5126	5876
101	1737.448416	5876	5124	5876
102	1736.479965	5876	5120	5876
103	1734.79282	5876	5118	5876
104	1734.759367	5876	5128	5876
105	1733.519393	5876	5129	5876
106	1729.733644	5876	5134	5876
107	1728.8255	5876	5136	5876
108	1728.487232	5876	5138	5876
109	1726.719858	5876	5135	5876
110	1726.650616	5876	5129	5876
111	1725.615708	5876	5133	5876
112	1724.282909	5876	5137	5876
113	1722.002924	5876	5137	5876
114	1716.394702	5876	5140	5876
115	1712.615966	5876	5146	5876
116	1710.514829	5876	5144	5876
117	1709.958571	5876	5144	5876
118	1708.123273	5876	5147	5876
119	1707.203022	5876	5150	5876
120	1704.510506	5876	5153	5876
121	1701.05285	5876	5152	5876
122	1701.134928	5876	5155	5876
123	1699.823154	5876	5154	5876
124	1697.138492	5876	5162	5876
125	1695.314677	5876	5162	5876
126	1690.682676	5876	5166	5876
127	1687.351445	5876	5166	5876
128	1685.434548	5876	5168	5876
129	1684.485919	5876	5172	5876
130	1683.259678	5876	5174	5876
131	1683.186338	5876	5172	5876
132	1681.588301	5876	5170	5876
133	1681.730641	5876	5170	5876
134	1681.227728	5876	5171	5876
135	1680.991675	5876	5172	5876
136	1681.183262	5876	5174	5876
137	1679.094636	5876	5174	5876
138	1677.691694	5876	5175	5876
139	1675.965924	5876	5175	5876
140	1675.989411	5876	5171	5876
141	1675.227	5876	5180	5876
142	1674.008093	5876	5178	5876
143	1671.210085	5876	5175	5876
144	1669.977089	5876	5172	5876
145	1669.048627	5876	5174	5876
146	1668.773551	5876	5179	5876
147	1668.379871	5876	5177	5876
148	1661.361331	5876	5181	5876
149	1660.83003	5876	5179	5876
150	1659.8412	5876	5174	5876
151	1659.499316	5876	5179	5876
152	1658.945927	5876	5177	5876
153	1657.971876	5876	5175	5876
154	1657.96215	5876	5181	5876
155	1656.716535	5876	5181	5876
156	1656.980194	5876	5181	5876
157	1656.600713	5876	5180	5876
158	1656.073783	5876	5185	5876
159	1656.145041	5876	5184	5876
160	1655.835441	5876	5185	5876
161	1653.841772	5876	5190	5876
162	1652.531783	5876	5189	5876
163	1652.465086	5876	5186	5876
164	1652.333488	5876	5186	5876
165	1652.76179	5876	5186	5876
166	1650.941871	5876	5186	5876
167	1650.248485	5876	5184	5876
168	1649.790147	5876	5189	5876
169	1648.37764	5876	5189	5876
170	1647.79068	5876	5193	5876
171	1647.32896	5876	5194	5876
172	1648.061467	5876	5193	5876
173	1648.210551	5876	5190	5876
174	1647.877186	5876	5190	5876
175	1646.876285	5876	5191	5876
176	1646.503176	5876	5186	5876
177	1646.030272	5876	5186	5876
178	1646.018651	5876	5186	5876
179	1644.437973	5876	5188	5876
180	1643.976024	5876	5180	5876
181	1643.453433	5876	5182	5876
182	1642.708011	5876	5178	5876
183	1641.456183	5876	5181	5876
184	1639.750273	5876	5178	5876
185	1639.320324	5876	5178	5876
186	1638.854153	5876	5182	5876
187	1637.084872	5876	5181	5876
188	1636.601508	5876	5182	5876
189	1634.960415	5876	5181	5876
190	1633.662151	5876	5180	5876
191	1632.515038	5876	5190	5876
192	1632.65133	5876	5188	5876
193	1632.115861	5876	5185	5876
194	1632.776835	5876	5184	5876
195	1633.557086	5876	5185	5876
196	1633.947431	5876	5184	5876
197	1634.570882	5876	5183	5876
198	1632.625706	5876	5183	5876
199	1633.004606	5876	5185	5876
200	1632.810579	5876	5185	5876
201	1632.338136	5876	5186	5876
202	1631.938629	5876	5188	5876
203	1630.903128	5876	5190	5876
204	1629.832712	5876	5190	5876
205	1629.989672	5876	5184	5876
206	1629.992811	5876	5184	5876
207	1628.678092	5876	5184	5876
208	1629.23685	5876	5181	5876
209	1629.591299	5876	5181	5876
210	1628.736791	5876	5181	5876
211	1629.03824	5876	5184	5876
212	1628.167393	5876	5186	5876
213	1627.963914	5876	5184	5876
214	1627.78725	5876	5186	5876
215	1627.536564	5876	5186	5876
216	1627.547826	5876	5188	5876
217	1626.741728	5876	5187	5876
218	1625.829865	5876	5190	5876
219	1624.797079	5876	5188	5876
220	1625.168534	5876	5191	5876
221	1625.545365	5876	5192	5876
222	1624.505584	5876	5191	5876
223	1624.603728	5876	5190	5876
224	1624.471945	5876	5187	5876
225	1623.607092	5876	5184	5876
226	1623.86721	5876	5185	5876
227	1623.430641	5876	5182	5876
228	1624.057278	5876	5182	5876
229	1623.387106	5876	5183	5876
230	1623.906045	5876	5183	5876
231	1623.692312	5876	5188	5876
232	1623.295477	5876	5191	5876
233	1620.756205	5876	5191	5876
234	1620.981962	5876	5187	5876
235	1620.186324	5876	5185	5876
236	1619.309612	5876	5186	5876
237	1618.784067	5876	5188	5876
238	1620.064709	5876	5183	5876
239	1619.010962	5876	5182	5876
240	1619.482805	5876	5178	5876
241	1619.652844	5876	5178	5876
242	1618.914959	5876	5178	5876
243	1616.987616	5876	5178	5876
244	1615.288955	5876	5179	5876
245	1614.999135	5876	5183	5876
246	1614.567085	5876	5184	5876
